"objectid","rd20full","length_mi","class","xstrt1","xstrt2","district","sapid","iamfloc"
"3027","BACON ST","0.07229992","Class III","SANTA CRUZ AV","DEL MONTE AV","2","SS-003349",""
"3028","06TH AV","0.07103526","Class IV (Two-Way)","F ST","E ST","3","SS-000224",""
"3029","MIRAMAR RD","0.41959100","Class II","DISTRIBUTION AV","CARROLL RD","6","SS-018434",""
"3030","OLNEY ST","0.05838312","Class III","PACIFIC BEACH DR","OLIVER AV","1","SS-020519","SS-020519"
"3031","ADAMS AV","0.06193912","Class III","BANCROFT ST","33RD ST","9","SS-001712",""
"3032","SPECTRUM CENTER BL","0.24154695","Class II","OVERLAND AV","RUFFIN RD","6","SS-030573","SS-030573"
"3033","ORCHARD AV","0.11701932","Class III","EBERS ST","SUNSET CLIFFS BL","2","SS-020647","SS-020647"
"3034","LAKE MURRAY BL","0.11715904","Class II","LAKE ARROWHEAD DR","LYNNHAVEN LN","7","SS-015851",""
"3035","FAIRMOUNT AV","0.25554631","Class II","CAM DEL RIO SOUTH","ALVARADO CANYON RD","9","SS-010814",""
"3036","30TH ST","0.06850972","Class IV (One-Way)","KALMIA ST","LAUREL ST","3","SS-000676",""
"3037","06TH AV","0.14290835","Class III","CEDAR ST","ELM ST","3","SS-000233","SS-000233"
"3038","PASEO LUCIDO","0.25445508","Class II","CALLE SAUCILLO","AVNDA VENUSTO","5","SS-021433",""
"3039","SKYLINE DR","0.06232465","Class II","S 65TH ST","S 66TH ST","4","SS-025100","SS-025100"
"3040","KEARNY VILLA RD","0.24137747","Class II","HARRIS PLANT RD","KEARNY VILLA RD RA","6","SS-014976",""
"3041","CASS ST","0.06614104","Class II","LAW ST","BERYL ST","1","SS-006620",""
"3042","OCEAN BEACH BIKE PATH","0.99983444","Class I","BEGIN","SUNSET CLIFFS BL","2","SA-002914","SS-035642"
"3043","UNIVERSITY AV","0.00651407","Class III","28TH ST","UTAH ST","3","SS-027217","SS-027217"
"3044","RANCHO BERNARDO RD","0.05061794","Class II","BROKEN BOW CT","MATINAL RD","5","SS-022676","SS-022676"
"3045","BERNARDO CENTER DR","0.11961388","Class III","RANCHO BERNARDO TOWN DR","BERNARDO PLAZA CT","5","SS-004054","SS-004054"
"3046","GLACIER AV","0.05474305","Class III","CRAWFORD ST","BURGUNDY ST","7","SS-012169","SS-012169"
"3047","ORANGE AV","0.03473056","Class III","MARLBOROUGH AV","42ND ST","9","SS-020598","SS-020598"
"3048","CALLE CRISTOBAL","0.11751869","Class II","AVNDA DEL GATO","LORIRAE PL","6","SS-005461","SS-005461"
"3049","BLACK MTN RD","0.17766273","Class II","OVIEDO ST","LETHBRIDGE WY","5","SS-004333",""
"3050","04TH AV","0.07178047","Class IV (One-Way)","GRAPE ST","HAWTHORN ST","3","SS-000126","SS-000126"
"3051","MARINE ST","0.03889878","Class III","MONTE VISTA AV","OLIVETAS AV","1","SS-017528",""
"3052","ZION AV","0.06477617","Class III","WARING RD","BIRCHWOOD ST","7","SS-029235","SS-029235"
"3053","COPLEY DR","0.64426012","Class II","CONVOY TR","HICKMAN FIELD DR","6","SS-007915","SS-007915"
"3054","SCOTT ST","0.04117258","Class III","NORTH HARBOR DR","INGELOW ST","2","SS-024489",""
"3055","JOHN JAY HOPKINS DR","0.07187440","Class II","GENESEE AV","JOHN HOPKINS CT","1","SS-014655","SS-014655"
"3056","CAM RUIZ","0.26085073","Class II","CARROLL CANYON RD","JADE COAST DR","6","SS-031962-PV1","SS-031962"
"3057","SPECTRUM CENTER BL","0.20894765","Class II","PARAMOUNT DR","OVERLAND AV","6","SS-030576","SS-030576"
"3058","PRESIDIO DR","0.06301514","Class III","JACKSON ST","TAYLOR ST","2","SS-022362","SS-022362"
"3059","OCEAN FRONT WK","0.02504373","Class I","SAN RAFAEL PL","VENICE CT","2","SS-032048","SS-032048"
"3060","CLAIREMONT MESA BL","0.31375821","Class III","KEARNY MESA RD","KEARNY VILLA RD","6","SS-007307","SS-007307"
"3061","MADISON AV","0.06610039","Class II","RHODE ISLAND ST","NEW YORK ST","3","SS-017132",""
"3062","ISLAND AV","0.05435602","Class II","20TH ST","21ST ST","8","SS-014300","SS-014300"
"3063","KEARNY VILLA RD","0.12602851","Class II","TECH WY","SPECTRUM CENTER BL","6","SS-030449","SS-030449"
"3064","NORTH TORREY PINES RD","0.37331837","Class II","LA JOLLA SHORES DR","ALMAHURST RW","1","SS-020126",""
"3065","BALBOA AV","0.83998170","Class II","CLAIREMONT DR","MT CULEBRA AV","2","SS-003418",""
"3066","PARK RIDGE BL","0.10426217","Class II","HYDE PARK DR","NAVAJO RD","7","SS-021210","SS-021210"
"3067","MORENA BL","0.07486046","Class II","DORCAS ST","SAVANNAH ST","7","SS-019033","SS-019033"
"3068","CATALINA BL","0.09816692","Class III","SOUTHERNWOOD WY","TALBOT ST","2","SS-030752",""
"3069","L ST","0.05340911","Class III","EVANS ST","HENSLEY ST","8","SS-015400","SS-015400"
"3070","ZION AV","0.17239434","Class III","WINONA AV","51ST ST","7","SS-029231","SS-029231"
"3071","MARKET ST","0.06131330","Class II","40TH ST","RAVEN ST","9","SS-017618","SS-017618"
"3072","WALNUT AV","0.02606632","Class III","03RD AV","03RD AV","3","SS-028216","SS-028216"
"3073","FLANDERS DR","0.18817019","Class III","ADERMAN AV","DABNEY DR","6","SS-011193","SS-011193"
"3074","MADISON AV","0.07254900","Class II","GEORGIA ST","FLORIDA ST","3","SS-017140",""
"3075","FAY AV","0.03983312","Class III","WEST MUIRLANDS DR","RUSHVILLE ST","1","SS-010936",""
"3076","W LEWIS ST","0.05284087","Class III","HAWK ST","IBIS ST","3","SS-029901",""
"3077","UTAH ST","0.04840269","Class II","LINCOLN AV","POLK AV","3","SS-027286","SS-027286"
"3078","CLAIREMONT MESA BL","0.44764024","Class II","MURPHY CANYON RD","REPECHO DR","7","SS-007306","SS-007306"
"3079","SPRING CANYON RD","0.09684953","Class II","SEMILLON BL","ELDERWOOD LN","5","SS-025401","SS-025401"
"3080","EBERS ST","0.07150836","Class III","SANTA MONICA AV","SARATOGA AV","2","SS-009849","SS-009849"
"3081","RANCHO BERNARDO RD","0.18259120","Class II","VIA TAZON","WEST BERNARDO DR","5","SS-022677","SS-022677"
"3082","GOLD COAST DR","0.09829715","Class III","BARONESS AV","AMBASSADOR AV","6","SS-012315",""
"3083","MEADE AV","0.05919367","Class II","32ND ST","BANCROFT ST","9","SS-017911",""
"3084","POMERADO RD","0.54323498","Class II","SEMILLON BL","SYCAMORE TEST RD","5","SS-022208",""
"3085","POPLAR ST","0.06080103","Class II","VIOLET ST","TUBEROSE ST","9","SS-022230","SS-022230"
"3086","TWAIN AV","0.03561411","Class III","WANDA CT","DELOR CT","7","SS-026977","SS-026977"
"3087","NAUTILUS ST","0.05886612","Class II","VIA ESTRADA","AVNDA ANDORRA","1","SS-019719",""
"3088","CARMEL MTN RD","0.50230020","Class II","FREEPORT RD","STONEY CREEK RD","5","SS-006425","SS-006425"
"3089","GRAND AV","0.14227509","Class II","BOND ST","FIGUEROA BL","1","SS-012483","SS-012483"
"3090","IMPERIAL AV","0.23150555","Class II","MESSINA WY","END","4","SS-014047",""
"3091","PARK BL","0.07215932","Class III","F ST","E ST","3","SS-000349",""
"3092","CARMEL MTN RD","0.10717979","Class II","EAST OCEAN AIR DR","VEREDA MAR DEL CORAZ","1","SS-006433","SS-006433"
"3093","PACIFIC HY","0.06988642","Class III","W F ST","W E ST","3","SS-020921","SS-020921"
"3094","CHATSWORTH BL","0.07548654","Class II","POINSETTIA DR","VOLTAIRE ST","2","SS-007033","SS-007033"
"3095","SEMILLON BL","0.21847955","Class II","CLEARWOOD CT","SCRIPPS TL","5","SS-024736","SS-024736"
"3096","EL CAMINO REAL","0.37513676","Class II","QUARTER MILE DR","HALF MILE DR","1","SS-010058","SS-010058"
"3097","ORANGE AV","0.06887983","Class III","40TH ST","CENTRAL AV","9","SS-031362","SS-031362"
"3098","ADAMS AV","0.06554015","Class III","HAWLEY BL","MANSFIELD ST","9","SS-001716",""
"3099","GLACIER AV","0.05758075","Class III","BURGUNDY ST","DELBARTON ST","7","SS-012170","SS-012170"
"3100","EBERS ST","0.07247128","Class III","NEWPORT AV","SANTA MONICA AV","2","SS-009850","SS-009850"
"3101","06TH AV","0.06955081","Class IV (Two-Way)","ISLAND AV","MARKET ST","3","SS-000227",""
"3102","UPAS ST","0.06136393","Class III","RICHMOND ST","ALBERT ST","3","SS-027233",""
"3103","TWIN TRAILS DR","0.05100422","Class III","SUNDANCE AV","ROUNDUP AV","5","SS-027014",""
"3104","LA JOLLA VILLAGE DR RA","0.04449708","Class II","GILMAN DR","END","1","SS-015645","SS-015645"
"3105","CAM DE LA COSTA","0.08078308","Class III","WINAMAR AV","PALOMAR AV","1","SS-005724","SS-005724"
"3106","ADAMS AV","0.09551425","Class III","BONNIE CT","KENSINGTON DR","9","SS-001760",""
"3107","NAPA ST","0.04288973","Class III","GAINES ST","FRIARS RD","7","SS-019630","SS-019630"
"3108","LA JOLLA MESA DR","0.11823364","Class II","LINDA ROSA AV","LAMPLIGHT DR","1","SS-015564","SS-015564"
"3109","SPORTS ARENA BL","0.05995314","Class III","OLLIE ST","I-8 EB ON RA","2","SS-025376","SS-025376"
"3110","CARROLL RD","0.10206188","Class II","REHCO RD","CRESTMAR PT","6","SS-006553",""
"3111","FORT STOCKTON DR","0.04964327","Class III","HAWK ST","IBIS ST","3","SS-011348",""
"3112","ADAMS AV","0.07140213","Class III","OREGON ST","IDAHO ST","3","SS-001765",""
"3113","CATALINA BL","0.06862883","Class III","POINT LOMA AV","CHATSWORTH BL","2","SS-030758","SS-030758"
"3114","BALBOA AV","0.18671593","Class II","MT CULEBRA AV","MT EVEREST BL","2","SS-003403",""
"3115","AERO DR","0.19406307","Class II","WEST CANYON AV","DALEY CENTER DR","7","SS-001848",""
"3116","CONGRESS ST","0.06780333","Class III","TWIGGS ST","MASON ST","2","SS-007796","SS-007796"
"3117","W UNIVERSITY AV","0.06691196","Class III","01ST AV","FRONT ST","3","SS-030054","SS-030054"
"3118","PASEO DEL SUR","0.18242865","Class II","CAM DEL SUR","HAALAND GLEN","5","SS-031842",""
"3119","CAM RUIZ","0.09734667","Class III","JADE COAST DR","JADE COAST RD","6","SS-005905","SS-005905"
"3120","CARMEL CREEK RD","0.11436553","Class II","DEL MAR TRAILS RD","MYKONOS LN","1","SS-006384","SS-006384"
"3121","RUEDA DR","0.08022684","Class III","CARTULINA RD","CALLE DE VIDA","7","SS-023754","SS-023754"
"3122","L ST","0.12518997","Class III","31ST ST","32ND ST","9","SS-015407","SS-015407"
"3123","POTOMAC ST","0.04292532","Class II","CALLE SERENA","CALLE TREPADORA","4","SS-022294",""
"3124","CAM DEL RIO SOUTH","0.01372508","Class II","SCHEIDLER WY","END","9","SS-005781","SS-005781"
"3125","HOWARD AV","0.07159202","Class III","OHIO ST","ILLINOIS ST","3","SS-013821",""
"3126","CATALINA BL","2.73982390","Class II","CABRILLO MEMORIAL DR","CEDARBRAE LN","2","SS-006691","SS-006691"
"3127","ADAMS AV","0.06024187","Class III","KENSINGTON DR","MARLBOROUGH DR","9","SS-001726",""
"3128","GOVERNOR DR","0.08151807","Class II","EDMONTON AV","AGEE ST","6","SS-012428","SS-012428"
"3129","IMPERIAL AV","0.19811047","Class II","ESCUELA ST","49TH ST","4","SS-014051","SS-014051"
"3130","W LAUREL ST","0.05134248","Class III","STATE ST","COLUMBIA ST","3","SS-029882","SS-029882"
"3131","MISSION GORGE RD","0.15473714","Class II","DEERFIELD ST","JACKSON DR","7","SS-018585","SS-018585"
"3132","35TH ST","0.11542431","Class II","POLK AV","ORANGE AV","9","SS-000870","SS-000870"
"3133","MIRA SORRENTO PL","0.34661281","Class II","BEGIN","SCRANTON RD","6","SS-018402",""
"3134","GENESEE AV","0.21680833","Class II","MT HERBERT AV","CHATEAU DR","2","SS-012028",""
"3135","CARROLL RD","0.10017444","Class II","CARROLL PARK DR","NANCY RIDGE DR","6","SS-006549",""
"3136","SEA WORLD DR","0.25835253","Class III","FRIARS RD","EAST MISSION BAY DR","2","SS-024629","SS-024629"
"3137","CARMEL VALLEY RD","0.19728770","Class II","ZINNIA HILLS PL","LOPELIA MEADOWS PL","1","SS-032216","SS-032216"
"3138","54TH ST","0.09564862","Class II","CHOLLAS PY","LEA ST","9","SS-001300","SS-001300"
"3139","OCEAN VIEW BL","0.12538063","Class III","S 38TH ST","S 39TH ST","4","SS-020312","SS-020312"
"3140","EUCLID AV","0.09114375","Class II","54TH (E FTG) RD","54TH ST","4","SS-010567","SS-010567"
"3141","GRAND AV","0.10964662","Class II","MORRELL ST","NOYES ST","1","SS-012490",""
"3142","NAUTILUS ST","0.14334489","Class II","FAY AV","ARANDA AV","1","SS-019711","SS-019711"
"3143","A ST","0.05208388","Class III","08TH AV","09TH AV","3","SS-001567",""
"3144","ALLEY","0.14835620","Class III","LA JOLLA HERMOSA AV","VAN NUYS ST","1","SA-002686","SS-035415"
"3145","COLLWOOD BL","0.08849703","Class II","54TH ST","MONROE AV","9","SS-007648",""
"3146","REMINGTON RD","0.27120867","Class II","HEWLETT DR","55TH ST","9","SS-023013","SS-023013"
"3147","CAM DEL NORTE","0.46360888","Class II","PASEO MONTANOSO","BERNARDO CENTER DR","5","SS-005757","SS-005757"
"3148","HORNBLEND ST","0.11177600","Class III","INGRAHAM ST","JEWELL ST","1","SS-013756",""
"3149","EBERS ST","0.07092856","Class III","PESCADERO AV","ORCHARD AV","2","SS-009858","SS-009858"
"3150","SORRENTO VALLEY RD","0.11152508","Class II","INDUSTRIAL CT","CARMEL MTN RD","1","SS-025263","SS-025263"
"3151","GENESEE AV","0.23141294","Class II","GENESEE COURT E","MT ALIFAN DR","2","SS-012012",""
"3152","CARMEL MTN RD","0.16263135","Class II","VIA CIMA BELLA","SUNDEVIL WY","5","SS-006416","SS-006416"
"3153","COLLEGE AV","0.63632346","Class II","ROCK PL","UNIVERSITY AV","9","SS-007571","SS-007571"
"3154","DAMON AV","0.20259215","Class III","MISSION BAY DR","END","2","SS-008650","SS-008650"
"3155","TAYLOR ST","0.06166930","Class III","MORENA BL","PRESIDIO DR","2","SS-026214",""
"3156","PENASQUITOS DR","0.13773756","Class II","JANAL WY","PENASQUITOS CT","5","SS-021577","SS-021577"
"3157","RUEDA DR","0.06052739","Class III","ZORITA CT","VIA TEMPRANO","7","SS-023760",""
"3158","NEPTUNE PL","0.05070350","Class III","KOLMAR ST","GRAVILLA ST","1","SS-019765","SS-019765"
"3159","DELBARTON ST","0.16035503","Class III","ORCUTT AV","ZION AV","7","SS-009052","SS-009052"
"3160","SCRIPPS LAKE DR","0.19989814","Class II","RED CEDAR DR","ALDERBROOK DR","5","SS-024531","SS-024531"
"3161","EBERS ST","0.07179979","Class III","NIAGARA AV","NEWPORT AV","2","SS-009851","SS-009851"
"3162","ORANGE AV","0.06327121","Class III","HIGHLAND AV","45TH ST","9","SS-020620","SS-020620"
"3163","PATH","0.19659986","Class I","SILKTREE TER","RIGEL ST","8","No Segment ID","No IAMFLOC ID"
"3164","STATE ST","0.14440173","Class III","W F ST","W E ST","3","SS-025583",""
"3165","RUFFIN RD","0.20934973","Class II","BALBOA AV","SPECTRUM CENTER BL","6","SS-023789","SS-023789"
"3166","LANDIS ST","0.12663337","Class III","VILLA TR","PERSHING AV","3","SS-015998","SS-015998"
"3167","RANCHO CARMEL DR","0.71455013","Class II","CARMEL MTN RD","AVENUE OF SCIENCE","5","SS-022693",""
"3168","GOVERNOR DR","0.05164837","Class II","AGEE ST","LIPMANN ST","6","SS-012429","SS-012429"
"3169","MADISON AV","0.07251854","Class II","ALABAMA ST","MISSISSIPPI ST","3","SS-017142",""
"3170","SAN DIEGO AV","0.07208175","Class III","HORTENSIA ST","OLD TOWN AV","2","SS-024020","SS-024020"
"3171","BALBOA AV","0.35871214","Class II","CONVOY ST","MERCURY ST","6","SS-003396",""
"3172","GOLFCREST DR","0.18070922","Class II","RUANE ST","MISSION GORGE RD","7","SS-012388","SS-012388"
"3173","KEARNY VILLA RD","0.17338854","Class II","KEARNY VILLA RD RA","HARRIS PLANT RD","6","SS-014966",""
"3174","ZION AV","0.06042729","Class III","CARTWRIGHT ST","DELBARTON ST","7","SS-029227",""
"3175","PRIVATE RD","0.02978380","Class II","N TORREY PINES RD","SCHOLARS DR","1","No Segment ID","No IAMFLOC ID"
"3176","ZION AV","0.05492948","Class III","SEAMAN ST","CARTWRIGHT ST","7","SS-029226",""
"3177","CATALINA BL","0.02499838","Class III","GARDEN LN","GARDEN LN","2","SS-031031",""
"3178","POMERADO RD","0.24590191","Class II","PASEO DEL VERANO NOR","BERNARDO TRAILS DR","5","SS-022185","SS-022185"
"3179","RANCHO BERNARDO RD","0.15176743","Class II","ALONDRA DR","CITY BOUNDARY","5","SS-022682",""
"3180","NAUTILUS ST","0.05038990","Class II","AVNDA LA REINA","AVNDA MANANA","1","SS-019716","SS-019716"
"3181","TROJAN AV","0.04053736","Class III","56TH ST","VALE WY","9","SS-026863",""
"3182","ROSECRANS ST","0.22296422","Class II","QUALTROUGH ST","KONA WY","2","SS-023598","SS-023598"
"3183","PROSPECT PL","0.03209892","Class III","BLUEBIRD LN","TORREY PINES RD","1","SS-022418","SS-022418"
"3184","06TH AV","0.07632851","Class III","UPAS ST","IVY LN","3","SS-000232",""
"3185","TROJAN AV","0.07974584","Class III","VALE WY","58TH ST","9","SS-026865",""
"3186","S 28TH ST","0.03504248","Class III","28TH ST","VALLEY PL","8","SS-029309","SS-029309"
"3187","SCRIPPS POWAY PY","0.43965224","Class II","IVY HILL DR","SCRIPPS CREEK DR","5","SS-024538",""
"3188","FANUEL ST","0.06596239","Class III","EMERALD ST","DIAMOND ST","1","SS-010893","SS-010893"
"3189","S EUCLID AV","0.01932192","Class II","OLVERA AV","LOGAN AV","4","SS-029607","SS-029607"
"3190","LADERA ST","0.06693334","Class III","CORNISH DR","CORDOVA ST","2","SS-015724","SS-015724"
"3191","MADISON AV","0.01212267","Class II","MASSACHUSETTS ST","MASSACHUSETTS ST","3","SS-017105",""
"3192","TALBOT ST","0.03611420","Class III","ARMADA TR","EVERGREEN ST","2","SS-026116","SS-026116"
"3193","EBERS ST","0.06873892","Class III","ORCHARD AV","DEL MAR AV","2","SS-009857",""
"3194","BLACK MTN RD","0.18530687","Class II","EMDEN RD","CARMEL VALLEY RD","5","SS-030637","SS-030637"
"3195","HARBOR DR","0.12524383","Class II","BEARDSLEY ST","CESAR E CHAVEZ PY","8","SS-013028","SS-013028"
"3196","CORONADO AV","0.03297919","Class III","OCEAN FRONT ST","BACON ST","2","SS-008018","SS-008018"
"3197","KETTNER BL","0.07231296","Class III","W HAWTHORN ST","W IVY ST","3","SS-015196",""
"3198","MISSION BL","0.06757011","Class III","REED AV","THOMAS AV","1","SS-018480",""
"3199","NORTH HARBOR DR","0.29942697","Class II","W HAWTHORN ST","W LAUREL ST","3","SS-020073","SS-020073"
"3200","MESA COLLEGE DR","0.07286194","Class II","ANNRAE ST","BERGER AV","7","SS-018162",""
"3201","UPAS ST","0.25082087","Class III","HERBERT ST","PARK BL","3","SS-027257",""
"3202","LYTTON ST","0.07085625","Class II","BARNETT AV","SELLERS PZ","2","SS-017056",""
"3203","CATALINA BL","0.06918410","Class III","CANON ST","SOUTHERNWOOD WY","2","SS-030751",""
"3204","FLANDERS DR","0.07471004","Class III","DARDEN RD","ADERMAN AV","6","SS-011194","SS-011194"
"3205","STATE ST","0.07139171","Class II","W LAUREL ST","W MAPLE ST","3","SS-025567","SS-025567"
"3206","BLACK MTN RD","0.27479641","Class II","DEFREITAS AV","OVIEDO ST","5","SS-004335","SS-004335"
"3207","IMPERIAL AV","0.18110182","Class II","LINNET ST","60TH ST","4","SS-014011","SS-014011"
"3208","HARBOR DR","0.59840437","Class II","S 28TH ST","S 32ND ST","8","SS-013036",""
"3209","PASEO DEL SUR","0.13753458","Class II","REAGAN GLEN","TIERNEY GLEN","5","SS-031845",""
"3210","MIRAMAR RD","0.25737248","Class II","MIRAMAR ML","MIRAMAR PL","6","SS-018430",""
"3211","03RD AV","0.12500020","Class III","PENNSYLVANIA AV","ROBINSON AV","3","SS-000069",""
"3212","KEARNY VILLA RD","0.26126084","Class II","CHESAPEAKE DR","RUFFIN RD","6","SS-014967","SS-014967"
"3213","COLLEGE GROVE DR","0.02833362","Class II","54TH ST","KRENNING ST","4","SS-007593",""
"3214","GENESEE AV","0.07477786","Class II","EASTGATE ML","FEZ ST","6","SS-011994",""
"3215","LA JOLLA SCENIC S DR","0.05855569","Class III","SOLEDAD MTN RD","KING ARTHUR CT","1","SS-015590","SS-015590"
"3216","DEL MAR TRAILS RD","0.09402527","Class II","MERCURIO ST","CARMEL CANYON RD","1","SS-008992",""
"3217","FANUEL ST","0.07119870","Class III","LORING ST","OPAL ST","1","SS-010881",""
"3218","CANNINGTON DR","0.06235758","Class III","HANNON CT","LIEBEL CT","2","SS-006133",""
"3219","POMERADO RD","0.16197966","Class II","BERNARDO TRAILS DR","MIRASOL DR","5","SS-022184","SS-022184"
"3220","CAM RUIZ","0.16609608","Class III","JADE COAST RD","GOLD COAST DR","6","SS-005904","SS-005904"
"3221","MADISON AV","0.07180059","Class II","MISSISSIPPI ST","LOUISIANA ST","3","SS-017143",""
"3222","QUIVIRA RD","0.18928385","Class II","BEGIN","QUIVIRA ACCESS","2","SS-022563","SS-022563"
"3223","S 13TH ST","0.04654060","Class I","NEWTON AV","COMMERCIAL ST","8","No Segment ID","No IAMFLOC ID"
"3224","ORANGE AV","0.03340868","Class III","WABASH AV","FELTON ST","9","SS-020581","SS-020581"
"3225","ORANGE AV","0.06249116","Class III","EUCLID AV","48TH ST","9","SS-020626","SS-020626"
"3226","GRAND AV","0.27518095","Class II","LEE AV","BOND ST","1","SS-012484","SS-012484"
"3227","UTAH ST","0.07272750","Class II","COLLIER AV","COPLEY AV","3","SS-027280","SS-027280"
"3228","05TH AV","0.07159126","Class IV (One-Way)","GRAPE ST","HAWTHORN ST","3","SS-000170",""
"3229","RUEDA DR","0.08057462","Class III","CARTULINA RD","CALLE DE VIDA","7","SS-023754","SS-023754"
"3230","TECH WY","0.53635071","Class II","KEARNY VILLA RD","PARAMOUNT DR","6","SS-030454","SS-030454"
"3231","NEPTUNE PL","0.04936535","Class III","ROSEMONT ST","KOLMAR ST","1","SS-019766","SS-019766"
"3232","PACIFIC HY","0.08272596","Class II","PACIFIC HY SB OFF RA","PACIFIC HY SB OFF RA","2","SS-020898",""
"3233","CHATSWORTH BL","0.02647863","Class III","MACAULAY ST","LA CRESTA DR","2","SS-007025",""
"3234","MURPHY CANYON RD","0.58904284","Class III","BEGIN","STONECREST BL","7","SS-019508","SS-019508"
"3235","SPRING CANYON RD","0.19127253","Class II","ELDERWOOD LN","ELDERWOOD LN","5","SS-025392","SS-025392"
"3236","RANCHO CARMEL DR","0.12030136","Class II","SABRE SPRINGS PY","SR-56 WB ON RA","5","SS-022699",""
"3237","LINDA VISTA RD","0.11827530","Class II","METRO ST","MOLLIE ST","7","SS-016507","SS-016507"
"3238","KESLING ST","0.26643939","Class III","DOLIVA DR","CANNINGTON DR","2","SS-015169","SS-015169"
"3239","CAM DE LA COSTA","0.04758734","Class III","LA CANADA","AVNDA CRESTA","1","SS-005725","SS-005725"
"3240","HIGH BLUFF DR","0.59486435","Class II","EL CAM REAL","DEL MAR HEIGHTS RD","1","SS-013468","SS-013468"
"3241","CARMEL VALLEY RD","1.65025601","Class II","BLACK MTN RD","WINECREEK RD","5","SS-032076",""
"3242","UPAS ST","0.12746437","Class III","VERMONT ST","RICHMOND ST","3","SS-027234",""
"3243","SUNSET CLIFFS BL","0.01865310","Class III","CORDOVA ST","GUIZOT ST","2","SS-025883","SS-025883"
"3244","CAM DEL SUR","0.27865961","Class II","BERNARDO LAKES DR","BABCOCK ST","5","SS-032296","SS-032296"
"3245","MURRAY RIDGE RD","0.06666521","Class II","MISSION CENTER RD","CELESTINE AV","7","SS-019530","SS-019530"
"3246","WEST POINT LOMA BL","0.00986484","Class II","LARKSPUR ST","EBERS ST","2","SS-028528",""
"3247","GENESEE AV","0.05796168","Class III","CLAIREMONT MESA BL","CONRAD AV","2","SS-012024","SS-012024"
"3248","CHELSEA AV","0.06864658","Class III","DOLPHIN PL","CAM DE LA COSTA","1","SS-007055","SS-007055"
"3249","MADISON AV","0.07255812","Class II","ALABAMA ST","MISSISSIPPI ST","3","SS-017142",""
"3250","TAYLOR ST","0.06636575","Class III","SUNSET ST","MORENA BL","2","SS-026215",""
"3251","W WASHINGTON ST","0.03670393","Class II","WASHINGTON ST RA","WASHINGTON ST RA","3","SS-030088","SS-030088"
"3252","TECOLOTE RD","0.11548221","Class III","SEA WORLD DR","WEST MORENA BL","2","SS-026236","SS-026236"
"3253","BERNARDO HEIGHTS PY","0.25545213","Class II","AVNDA VENUSTO","CALLE NOBLEZA","5","SS-004068","SS-004068"
"3254","EL CAJON BL","0.07159108","Class III","GEORGIA ST","FLORIDA ST","3","SS-009996",""
"3255","LA JOLLA BL","0.02049749","Class II","GRAVILLA ST","PLAYA DEL SUR ST","1","SS-015505","SS-015505"
"3256","SPORTS ARENA BL","0.20084607","Class II","KEMPER ST","HANCOCK ST","2","SS-025374",""
"3257","35TH ST","0.13883457","Class III","MONROE AV","MADISON AV","9","SS-000883","SS-000883"
"3258","GOLD COAST DR","0.10912073","Class III","THANKSGIVING LN","BLACK MTN RD","6","SS-012323",""
"3259","05TH AV","0.06772503","Class IV (One-Way)","ASH ST","BEECH ST","3","SS-000175","SS-000175"
"3260","LA JOLLA VILLAGE DR RA","0.02569402","Class II","GILMAN DR","END","1","SS-015645","SS-015645"
"3261","COLLEGE AV","0.05973449","Class II","PECK PL","COLLEGE WY","9","SS-007561",""
"3262","MISSION BL","0.12863600","Class III","PACIFIC BEACH DR","REED AV","1","SS-018482",""
"3263","FAIRMOUNT AV","0.17472277","Class II","43RD ST","END","9","SS-010795",""
"3264","CAM DE LA COSTA","0.02505457","Class III","ALTA WY","BEAUMONT AV","1","SS-005718",""
"3265","MIRAMAR RD","0.15739194","Class II","CAM RUIZ","CLAYTON DR","6","SS-018422",""
"3266","ADAMS AV","0.05390229","Class III","BONNIE CT","KENSINGTON DR","9","SS-001760",""
"3267","MEADE AV","0.06383308","Class II","39TH ST","40TH ST","9","SS-017919",""
"3268","MIRA MESA BL","0.23487901","Class II","HUENNEKENS ST","GENETIC CENTER DR","6","SS-018384",""
"3269","FIESTA ISLAND RD","2.25694314","Class III","EAST MISSION BAY DR","EAST MISSION BAY DR","2","No Segment ID",""
"3270","SORRENTO VALLEY RD","0.09549705","Class II","TRIPP CT","INDUSTRIAL CT","1","SS-025264","SS-025264"
"3271","SEMILLON BL","0.05766686","Class II","AVNDA MAGNIFICA","POMERADO RD","5","SS-024742","SS-024742"
"3272","LINDA VISTA RD","0.11149979","Class II","FAMILY CR","MESA COLLEGE DR","7","SS-016490","SS-016490"
"3273","REYNARD WY","0.03314448","Class II","EAGLE ST","W REDWOOD ST","3","SS-023102","SS-023102"
"3274","GOVERNOR DR","0.18390483","Class II","GENESEE AV","EDMONTON AV","6","SS-012427","SS-012427"
"3275","VILLA LA JOLLA DR","0.12812582","Class III","GILMAN DR","VIA MALLORCA","1","SS-027976",""
"3276","SPRING CANYON RD","0.20014930","Class II","ELDERWOOD LN","RIESLING DR","5","SS-025400","SS-025400"
"3277","ZION AV","0.05985953","Class III","CLARA LEE AV","ESTRELLA AV","7","SS-029229",""
"3278","CARMEL VALLEY RD","0.26904301","Class II","PORTOFINO DR","POINTE DEL MAR WY","1","SS-006487","SS-006487"
"3279","CROWN POINT DR","0.04980227","Class III","MORRELL ST","FORTUNA AV","1","SS-008301",""
