"objectid","rd20full","length_mi","class","xstrt1","xstrt2","district","sapid","iamfloc"
"1661","S EUCLID AV","0.06430495","Class III","LOGAN AV","S EUCLID (W FTG) AV","4","SS-029608","SS-029608"
"1662","COLLEGE AV","0.06352119","Class II","PECK PL","COLLEGE WY","9","SS-007561",""
"1663","FANUEL ST","0.06285049","Class III","OPAL ST","TOURMALINE ST","1","SS-010886",""
"1664","BALBOA AV","0.10922436","Class II","MT EVEREST BL","BALBOA WY","2","SS-003402","SS-003402"
"1665","PEARL ST","0.05860011","Class III","HERSCHEL AV","HIGH AV","1","SS-021523","SS-021523"
"1666","RICHMOND ST","0.07518707","Class II","MYRTLE AV","BROOKES AV","3","SS-023144","SS-023144"
"1667","GOLFCREST DR","0.17495624","Class II","RUANE ST","MISSION GORGE RD","7","SS-012388","SS-012388"
"1668","CORNISH DR","0.04054761","Class III","LADERA ST","CASITAS ST","2","SS-007978","SS-007978"
"1669","SPRING CANYON RD","0.18786920","Class II","WATERTON RD","SCRIPPS RANCH BL","5","SS-025387","SS-025387"
"1670","CARMEL VALLEY RD","0.15148849","Class II","DEL MAR SCENIC PY","VIA APRILIA","1","SS-006478","SS-006478"
"1671","CHATSWORTH BL","0.17563684","Class III","VOLTAIRE ST","ZOLA ST","2","SS-007017","SS-007017"
"1672","LADERA ST","0.07515043","Class III","CORDOVA ST","SUNSET CLIFFS BL","2","SS-015725","SS-015725"
"1673","LA JOLLA COLONY DR","0.12391748","Class II","PORTE LA PAZ","CHARMANT DR","6","SS-015533",""
"1674","ADAMS AV","0.06193906","Class III","BANCROFT ST","33RD ST","9","SS-001712",""
"1675","06TH AV","0.07280486","Class IV (Two-Way)","BROADWAY","C ST","3","SS-000221",""
"1676","MONTEZUMA RD","0.01927723","Class II","MONTEZUMA WB OFF RA","COLLWOOD BL","9","SS-018919",""
"1677","SPORTS ARENA BL","0.04323019","Class III","MIDWAY DR","CHANNEL WY","2","SS-025372","SS-025372"
"1678","EAST OCEAN AIR DR","0.07287794","Class II","SENDA ACUARIO","SAND CRAB PL","1","SS-009779","SS-009779"
"1679","IMPERIAL AV","0.06933918","Class II","49TH ST","S WILLIE JAMES JONES AV","4","SS-014052","SS-014052"
"1680","MIRAMAR RESERVOIR","0.13763016","Class II","","","5","No Segment ID","No IAMFLOC ID"
"1681","EL CAMINO REAL","0.51843825","Class II","CARMEL CREEK RD","ARROYO SORRENTO RD","1","SS-010062","SS-010062"
"1682","PERSHING DR","0.17090013","Class II","I-5 NB OFF RA","26TH ST RD","3","SS-021675","SS-021675"
"1683","GOVERNOR DR","0.08289077","Class II","EDMONTON AV","AGEE ST","6","SS-012428","SS-012428"
"1684","30TH ST","0.04161765","Class IV (One-Way)","LAUREL ST","MAPLE CT","3","SS-000674",""
"1685","MORENA BL","0.11113931","Class II","LINDA VISTA RD","NAPA ST","7","SS-019039",""
"1686","FANUEL ST","0.06730094","Class III","WILBUR AV","LORING ST","1","SS-010887",""
"1687","30TH ST","0.12538394","Class IV (One-Way)","REDWOOD ST","THORN ST","3","SS-000666",""
"1688","LINDA VISTA RD","0.11225819","Class II","MESA COLLEGE DR","MARKHAM ST","7","SS-016511","SS-016511"
"1689","SANDROCK RD","0.04659126","Class II","HURLBUT ST","GLENHAVEN ST","7","SS-024204",""
"1690","BERNARDO HEIGHTS PY","0.19575745","Class II","CALLE NOBLEZA","PASEO LUCIDO","5","SS-004067","SS-004067"
"1691","WEST BERNARDO DR","0.14494633","Class II","VIA FRONTERA","VIA DEL CAMPO","5","SS-028443",""
"1692","GENESEE AV","0.59490208","Class II","CAMPUS POINT DR","SCIENCE CENTER DR","1","SS-012019","SS-012019"
"1693","04TH AV","0.06950859","Class IV (One-Way)","DATE ST","ELM ST","3","SS-000129","SS-000129"
"1694","54TH ST","0.13355293","Class II","MARVIN ST","STREAMVIEW DR","9","SS-001301","SS-001301"
"1695","30TH ST","0.07496839","Class III","MARKET ST","G ST","9","SS-000698",""
"1696","PRESIDIO DR","0.01096039","Class III","ARISTA ST","MARILOUISE WY","3","SS-022357",""
"1697","CARMEL MTN RD","0.27565807","Class II","STONEY CREEK RD","VIA RIMINI","5","SS-006418","SS-006418"
"1698","AERO DR","0.58506552","Class II","MURPHY CANYON RD","SANTO RD","7","SS-001850","SS-001850"
"1699","LANSDALE DR","0.06806204","Class II","BRIXTON PL","GLENCLIFF WY","1","SS-016039","SS-016039"
