"objectid","2name","name","gis_acres","park_type","address","owner","source_id","source","source_dt","src_notes"
"802","KENSINGTON/COLLEGE OS","Kensington/College Open Space","3.34031301","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"803","CHOLLAS RADIO SYSTEM OS","Chollas Radio System Open Space","2.18238132","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"804","MID-CITY OS","Mid-City Open Space","1.96494863","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"805","CYPRESS CANYON OS","Cypress Canyon Open Space","0.16771145","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"806","SWITZER OS","Switzer Open Space","0.28885590","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"807","MISSION TRAILS OS","Mission Trails Open Space","23.56083248","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"808","SWITZER OS","Switzer Open Space","0.16328360","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"809","MCGONIGLE CANYON OS","Mcgonigle Canyon Open Space","10.05091463","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"810","CARMEL VALLEY OS","Carmel Valley Open Space","0.79520968","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"811","CARMEL MOUNTAIN OS","Carmel Mountain Open Space","23.84870221","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"812","CHOLLAS RADIO SYSTEM OS","Chollas Radio System Open Space","1.27231750","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"813","OTAY VALLEY REGIONAL PARK","Otay Valley Regional Park","4.33751572","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"814","ENCANTO EXPRESSWAY OS","Encanto Expressway Open Space","0.27139932","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"815","CHOLLAS RADIO SYSTEM OS","Chollas Radio System Open Space","3.26386896","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"816","LOS PENASQUITOS CANYON OS","Los Penasquitos Canyon Open Space","3.87946763","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
"817","TIERRASANTA OS","Tierrasanta Open Space","2.16049675","Open Space"," ","City of San Diego","","City of San Diego","0516","Open Space"
