objectid,Park,alias,park_type,Location,Zip Code
133,Hilltop Park,Hilltop Park,Local,780 Hilltop Dr,92129
134,Harborside Park,Harborside Park,Local,670 Oxford St,91911
135,Lauderbach Park,Lauderbach Park,Local,333 Oxford St,91911
140,Explorer Park,Explorer Park,Local,Rancho Del Rey Py & Norella St,91910
141,Poinsettia Park,Poinsettia Park,Local,6600 Hidden Valley Road,92011
143,Hawk View Park,Hawk View Park,Local,1309 Blue Heron Ave,92024
144,Sun Vista Park,Sun Vista Park,Local,2011 Avenida La Posta,92024
145,Little Oaks Equestrian Park,Little Oaks Equestrian Park,Other,2879 Lone Jack Rd,92024
146,Oak Crest Park,Oak Crest Park,Local,1219 Encinitas Blvd,91913
147,Las Verdes Park,Las Verdes Park,Local,1390 Paseo De Las Verdes,92024
148,Mildred Macpherson Park,Mildred Macpherson Park,Local,1045 S Vulcan Ave,92024
149,Mackenzie Creek Park,Mackenzie Creek Park,Local,2775 Mackenzie Creek Rd,91914
150,Montevalle Park,Montevalle Park,Local,840 Duncan Ranch Rd,91914
151,Chula Vista Community Park,Chula Vista Community Park,Local,1060 Eastlake Pkwy,91915
152,Salt Creek Park,Salt Creek Park,Local,2710 Otay Lakes Rd,91915
153,Sunset View Park,Sunset View Park,Local,1390 S Greensview Dr,91915
157,Hillside,Hillside Park,Local,840 Buena Terrace,92111
158,Albert Van Zanten,Albert Van Zanten Park,Local,1495 Greenfield Drive,92021
159,Centennial Plaza,Centennial Plaza Park,Local,200 Civic Center Way,92182
160,Orpheus Park,Orpheus Park,Local,482 Orpheus Ave,92024
175,Fletcher Hills,Fletcher Hills,Local,2345 Center Place,91942
178,Judson,Judson Park,Local,326 N. Magnolia Avenue,92111
179,Prescott Promenade,Prescott Promenade,Local,201 E. Main Street,92020
180,Paseo Del Rey Park,Paseo Del Rey Park,Local,750 Paseo Del Rey,91910
181,Leo Carrillo Historic Park,Leo Carrillo Historic Park,Local,Melrose Dr And Poinsettia Ln,92009
182,Aviara Community Park ,Aviara Community Park ,Local,Poinsettia Ln & Ambrosia Ln,92011
183,Cadencia Park,Cadencia Park,Local,3300 Cadencia St,92009
184,La Costa Canyon Park,La Costa Canyon Park,Local,Pueblo St And Rana Court,92009
197,Windingwalk Park,Windingwalk Park,Local,1675 Exploration Falls Dr,91915
213,Ecke Sports Park,Ecke Sports Park,Local,278 Saxony Rd,92024
214,Voyager Park,Voyager Park,Local,1178 E J St,91910
215,Harvest Park,Harvest Park,Local,1550 E Palomar St,91913
217,Bonita Long Canyon Park,Bonita Long Canyon Park,Local,1745 Coltridge Ln,91902
219,Breezewood Park,Breezewood Park,Local,1091 Breezewood Dr,91913
221,Santa Cora Park,Santa Cora Park,Local,1365 Santa Cora Av,91913
222,Santa Venetia Park,Santa Venetia Park,Local,1500 Magdalena Av,91913
223,All Seasons Park,All Seasons Park,Local,1825 Magdalena Av,91913
224,Mount San Miguel Park,Mount San Miguel Park,Local,2335 Paseo Veracruz,91914
225,Mountain Hawk Park,Mountain Hawk Park,Local,1475 Lake Crest Dr,91915
226,Leucadia Oaks Park,Leucadia Oaks Park,Local,1511 N Vulcan Ave,92024
230,Teeple Park,Teeple Park,Local,1121 Calla Ave,91932
232,Veterans Park,Veterans Park,Local,1075 8Th St,91932
233,Pier Plaza,Pier Plaza,Local,10 Evergreen Ave,91932
234,Reama Park,Reama Park,Local,210 Elkwood Ave,91932
238,Pocket Park,Pocket Park,Local,Palm Ave And Silver Strand Blvd,92101
257,Lakeview Park,Lakeview Park,Local,700 Foxhall Dr,92131
258,Jack'S Pond Park,Jack'S Pond Park,Local,986 La Moree Rd,92078
259,Alder Glenn Park,Alder Glenn Park,Local,Park Creek Ct,92078
260,Sage Pointe Park,Sage Pointe Park,Local,201 Autumn Dr,92069
262,Buccaneer Beach Park,Buccaneer Beach Park,Local,1506 South Pacific Street,92054
263,Oak Riparian Park,Oak Riparian Park,Local,4625 Lake Boulevard,92056
298,Double Peak Regional Park,Double Peak Regional Park,Local,900 Double Peak Dr,92078
302,Sky Ranch Park,Sky Ranch Park,Local, ,92071
